glucose,glycogen,fatty_acid,triglycerides,glycerol,amino_acid,ammonia,urea,cholesterol,bile_acid,atp,adp,nad_plus,nadh,nadph,acetyl_coa,ketone_body,lactate,oxygen,albumin,clotting_factor,phaseI_intermediates,conjugates,ornithine,citrulline,argininosuccinate,arginine,ethanol,acetaldehyde,acetate,insulin,glucagon,epinephrine,cortisol,inflammation,oxygen_pressure,pH,temperature,is_postprandial,insulin_degrading_enzyme_activity,liver_function,xenobiotic_load,insulin_sensitivity,time,scenario
88.626,400.0,47.87,80.0,9.4522,27.1072,0.865,10.0,19.9,5.1,80.9233,18.8,47.95,12.05,20.0,7.25,1.0,4.4796,99.65,41.26,10.54,0.0,0.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.45,0.49,0.09000000000000001,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,0.0,normal_three_meals
87.45257421475,400.0,45.866985,80.0,8.906025560575,24.536772760574998,0.9715208,10.0,19.799999999999997,5.199999999999999,81.92605847705,17.4865,46.193285,13.806715,20.0,9.380215,1.0,3.9439674140999994,99.22825,42.3985024,11.027929599999998,0.0,0.0,1.0,0.36450000000000005,0.045,0.0,0.0,0.0,0.0,0.4,0.48,0.08000000000000002,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,0.016666666666666666,normal_three_meals
86.31779889125407,400.0,43.98323766,80.0,8.411574881330328,22.302871918526215,0.9137083571696123,10.0,19.699999999999996,5.299999999999999,83.0561775599413,16.08286745,44.70444521,15.29555479,20.0,11.39836234,1.0,3.4584810917737716,98.745014975,43.42904685594415,11.469591509690348,0.0,0.0,1.0,0.54660624,0.14535000000000003,0.009,0.0,0.0,0.0,0.35000000000000003,0.47,0.07000000000000002,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,0.03333333333333333,normal_three_meals
85.22226125082162,400.0,42.21156682179,80.0,7.969801202715548,20.368928020995764,0.7581937538228287,10.0018,19.599999999999994,5.399999999999999,84.31640110321379,14.610106928449998,43.45979152084,16.54020847916,20.0,13.31163317821,1.0,3.0232853634123984,98.20967055735001,44.36576747652225,11.87104320422382,0.0,0.0,1.0009,0.6567368751508837,0.280261872,0.03627000000000001,0.0,0.0,0.0,0.30000000000000004,0.45999999999999996,0.06000000000000002,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,0.05,normal_three_meals
84.19206484118358,400.0,40.545269448453034,80.0,7.574111315369479,18.694902659308667,0.549735420757262,10.009053999999999,19.499999999999993,5.499999999999998,85.56204743372574,13.222146770247248,42.30214895928328,17.69785104071672,20.0,15.12673055154697,1.0,2.6287251835565986,97.69831681485425,45.22126245340407,12.237683908601744,0.0,0.0,1.004527,0.6871739387524672,0.4212305601452651,0.08506837440000001,0.0,0.0,0.0,0.25000000000000006,0.44999999999999996,0.05000000000000002,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,0.06666666666666667,normal_three_meals
83.2813144012215,400.0,38.97809549689378,80.0,7.218873908903261,17.17897109328393,0.3848147945300834,10.026067674879998,19.39999999999999,5.599999999999998,86.7499448808834,11.966042827073759,41.17397161238515,18.826028387614848,20.0,16.849904503106224,1.0,2.268352142896399,97.2355416778956,46.00644836509504,12.5741921564693,0.0,0.0,1.0130338374399999,0.6459423833539056,0.5431366297419522,0.15230081154905303,0.0,0.0,0.0,0.20000000000000007,0.43999999999999995,0.040000000000000015,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,0.08333333333333333,normal_three_meals
82.51491594222028,400.0,37.50421548602424,80.0,6.900160238993244,15.788719157776878,0.26937035617105837,10.056527837189808,19.29999999999999,5.6999999999999975,87.88576701613964,10.829268758501751,40.07536352873393,19.924636471266066,20.0,18.486984513975763,1.0,1.9385761183547983,96.81673017894802,46.72796515101297,12.883413636148411,0.0,0.0,1.0282639185949052,0.567604106706759,0.6282920187997334,0.23046797518763287,0.0,0.0,0.0,0.15000000000000008,0.42999999999999994,0.030000000000000013,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,0.1,normal_three_meals
81.89375535641801,400.0,36.238190543354236,80.0,6.644685590348508,14.513321359665529,0.18855924931974086,10.102621432227334,19.19999999999999,5.799999999999997,88.97115991714351,9.800488226444084,39.0062556801965,20.993744319803493,20.0,20.04340945664577,1.0,1.6365091129764213,96.43770577240046,47.391091355639595,13.167610580988395,0.0,0.0,1.0513107161136686,0.4781339815460488,0.6729148470518144,0.31003278391005296,0.0,0.0,0.0,0.10000000000000007,0.41999999999999993,0.02000000000000001,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,0.11666666666666667,normal_three_meals
81.42033224009403,400.0,35.05002473107671,80.0,6.4190869644434905,13.34252345218058,0.1319914745238186,10.164627989009345,19.099999999999987,5.899999999999997,90.01147843243425,8.869441844931897,37.96151183810896,22.03848816189103,20.0,21.529175268923293,1.0,1.3590170479336159,96.09468868447492,48.00065085274555,13.428850365462374,0.0,0.0,1.0823139945046738,0.3912615618781564,0.6817720721052661,0.38260919653840525,0.0,0.0,0.0,0.05000000000000007,0.4099999999999999,0.01000000000000001,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,0.13333333333333333,normal_three_meals
81.09610443214616,400.0,33.9352987294681,80.0,6.220708247090508,12.267393327696762,0.09239403216667302,10.241149828317026,18.999999999999986,5.9999999999999964,91.01066862051896,8.026844869663368,36.94111071952229,23.058889280477704,20.0,22.9487012705319,1.0,1.1037801145246218,95.7842582199023,48.561036837737134,13.669015787601625,0.0,0.0,1.1205749141585144,0.3134805356718551,0.6627961262476598,0.44244177165177745,0.0,0.0,0.0,6.938893903907228e-17,0.3999999999999999,1.0408340855860843e-17,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,0.15,normal_three_meals
